"InChI=1S/C21H30N2O4/c1-14(15-6-3-2-4-7-15)22-20(25)12-17-10-11-18(19(13-24)27-17)23-21(26)16-8-5-9-16/h2-4,6-7,14,16-19,24H,5,8-13H2,1H3,(H,22,25)(H,23,26)/t14-,17-,18+,19+/m0/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-14(15)19(27)24-8-7-13-5-6-16(18(12-26)29-13)25-20(28)17-11-22-9-10-23-17/h1-4,9-11,13,16,18,26H,5-8,12H2,(H,24,27)(H,25,28)/t13-,16+,18-/m1/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-13(15)10-24-19(27)9-14-5-6-16(18(12-26)29-14)25-20(28)17-11-22-7-8-23-17/h1-4,7-8,11,14,16,18,26H,5-6,9-10,12H2,(H,24,27)(H,25,28)/t14-,16+,18+/m0/s1"
"InChI=1S/C25H28N2O6/c28-13-23-20(27-25(30)17-5-8-21-22(11-17)32-14-31-21)7-6-19(33-23)12-24(29)26-18-9-15-3-1-2-4-16(15)10-18/h1-5,8,11,18-20,23,28H,6-7,9-10,12-14H2,(H,26,29)(H,27,30)/t19-,20+,23-/m0/s1"
"InChI=1S/C18H26N4O4/c23-11-16-14(22-17(24)12-2-1-3-12)5-4-13(26-16)6-7-21-18(25)15-10-19-8-9-20-15/h8-10,12-14,16,23H,1-7,11H2,(H,21,25)(H,22,24)/t13-,14-,16-/m0/s1"
"InChI=1S/C25H33N3O5/c1-17(2)27-25(31)28-22-13-12-21(33-23(22)16-29)14-24(30)26-15-18-8-10-20(11-9-18)32-19-6-4-3-5-7-19/h3-11,17,21-23,29H,12-16H2,1-2H3,(H,26,30)(H2,27,28,31)/t21-,22-,23-/m1/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-14(15)19(27)24-8-7-13-5-6-16(18(12-26)29-13)25-20(28)17-11-22-9-10-23-17/h1-4,9-11,13,16,18,26H,5-8,12H2,(H,24,27)(H,25,28)/t13-,16+,18+/m0/s1"
"InChI=1S/C18H22F2N2O4/c1-2-17(24)22-15-4-3-14(26-16(15)10-23)8-18(25)21-9-11-5-12(19)7-13(20)6-11/h3-7,14-16,23H,2,8-10H2,1H3,(H,21,25)(H,22,24)/t14-,15-,16+/m1/s1"
"InChI=1S/C15H20N2O5/c18-9-13-12(7-6-11(22-13)8-14(19)20)17-15(21)16-10-4-2-1-3-5-10/h1-5,11-13,18H,6-9H2,(H,19,20)(H2,16,17,21)/t11-,12-,13+/m1/s1"
"InChI=1S/C22H25FN2O5S/c1-15(16-6-3-2-4-7-16)24-22(27)13-18-10-11-20(21(14-26)30-18)25-31(28,29)19-9-5-8-17(23)12-19/h2-12,15,18,20-21,25-26H,13-14H2,1H3,(H,24,27)/t15-,18+,20-,21-/m1/s1"
"InChI=1S/C23H27Cl2N3O5/c1-32-18-4-2-17(3-5-18)27-23(31)28-20-7-6-19(33-21(20)13-29)8-9-26-22(30)14-10-15(24)12-16(25)11-14/h2-5,10-12,19-21,29H,6-9,13H2,1H3,(H,26,30)(H2,27,28,31)/t19-,20-,21-/m1/s1"
"InChI=1S/C21H24Cl2N2O5S/c22-15-10-14(11-16(23)12-15)21(27)24-9-8-17-6-7-19(20(13-26)30-17)25-31(28,29)18-4-2-1-3-5-18/h1-5,10-12,17,19-20,25-26H,6-9,13H2,(H,24,27)/t17-,19-,20-/m1/s1"
"InChI=1S/C23H29N3O4/c1-16(17-7-3-2-4-8-17)25-23(29)14-19-10-11-20(21(15-27)30-19)26-22(28)13-18-9-5-6-12-24-18/h2-9,12,16,19-21,27H,10-11,13-15H2,1H3,(H,25,29)(H,26,28)/t16-,19+,20+,21+/m1/s1"
"InChI=1S/C21H30FN3O5/c22-17-4-2-1-3-16(17)21(28)24-18-6-5-15(30-19(18)14-26)7-8-23-20(27)13-25-9-11-29-12-10-25/h1-4,15,18-19,26H,5-14H2,(H,23,27)(H,24,28)/t15-,18+,19+/m1/s1"
"InChI=1S/C23H27FN2O5/c1-30-18-7-5-15(6-8-18)13-25-22(28)12-19-9-10-20(21(14-27)31-19)26-23(29)16-3-2-4-17(24)11-16/h2-8,11,19-21,27H,9-10,12-14H2,1H3,(H,25,28)(H,26,29)/t19-,20+,21-/m1/s1"
